Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2290;Hohenpeiﬂenberg;UPM;18.12.2023;18.12.2023;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;14.10.1867;18.12.1867;66;;eor;                                                                                                                                                 
2290;Hohenpeiﬂenberg;VPM;20.03.1879;20.03.1879;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;05.07.1879;05.07.1879;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;03.05.1880;03.05.1880;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;10.07.1880;10.07.1880;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;12.07.1880;12.07.1880;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;30.07.1880;30.07.1880;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;12.05.1881;12.05.1881;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;07.07.1881;07.07.1881;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;23.09.1881;23.09.1881;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;12.08.1883;12.08.1883;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;04.12.1883;04.12.1883;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;28.12.1883;28.12.1883;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;15.01.1884;15.01.1884;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;16.02.1884;16.02.1884;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;29.01.1886;30.01.1886;2;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;10.12.1889;10.12.1889;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;22.10.1892;22.10.1892;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;11.01.1894;11.01.1894;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;23.12.1896;23.12.1896;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;12.08.1897;12.08.1897;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;26.01.1898;26.01.1898;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;04.02.1900;04.02.1900;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;03.11.1902;03.11.1902;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;04.07.1903;04.07.1903;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;02.09.1904;02.09.1904;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;29.01.1905;29.01.1905;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;10.03.1905;10.03.1905;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;15.03.1906;15.03.1906;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;11.06.1906;11.06.1906;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;20.07.1906;20.07.1906;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;28.08.1906;28.08.1906;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;13.09.1906;13.09.1906;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;18.09.1906;18.09.1906;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;11.09.1907;11.09.1907;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;15.08.1909;15.08.1909;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;31.01.1913;31.01.1913;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;13.01.1923;13.01.1923;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;01.10.1925;01.10.1925;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;20.01.1928;20.01.1928;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;07.02.1928;07.02.1928;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;14.02.1932;14.02.1932;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;11.07.1935;11.07.1935;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;03.05.1945;13.05.1945;11;Kriegsjahre;eor;                                                                                                                                      
2290;Hohenpeiﬂenberg;VPM;28.11.2019;28.11.2019;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;VPM;18.12.2023;18.12.2023;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;NM;30.07.2018;30.07.2018;1;;eor;                                                                                                                                                   
2290;Hohenpeiﬂenberg;NM;28.11.2019;28.11.2019;1;;eor;                                                                                                                                                   
